IdLocalidad	Descripcion	CodigoPostal	IdProvincia	FechaAlta	EsCampana
1	CABEZA DE CHANCHO	3061	21	2018-06-17	
2	CAMPO GARAY	3066	21	2018-06-17	
3	CAMPO SAN JOSE	3060	21	2018-06-17	
4	COLONIA INDEPENDENCIA	3066	21	2018-06-17	
5	COLONIA MONTEFIORE	2341	21	2018-06-17	
6	EL AMARGO	3060	21	2018-06-17	
7	EL MARIANO	3060	21	2018-06-17	
8	EL NOCHERO	3061	21	2018-06-17	
9	ESTANCIA LA CIGUE	3060	21	2018-06-17	
10	ESTEBAN RAMS	3066	21	2018-06-17	
11	FORTIN ALERTA	3066	21	2018-06-17	
12	FORTIN ARGENTINA	3060	21	2018-06-17	
13	FORTIN ATAHUALPA	3061	21	2018-06-17	
14	FORTIN CACIQUE	3060	21	2018-06-17	
15	FORTIN SEIS DE CABALLERIA	3061	21	2018-06-17	
16	FORTIN TOSTADO	3060	21	2018-06-17	
17	GATO COLORADO	3541	21	2018-06-17	
18	GREGORIA PEREZ DE DENIS	3061	21	2018-06-17	
19	INDEPENDENCIA	3060	21	2018-06-17	
20	KILOMETRO 293	3066	21	2018-06-17	
21	KILOMETRO 389	3061	21	2018-06-17	
22	KILOMETRO 421	3061	21	2018-06-17	
23	KILOMETRO 468	3061	21	2018-06-17	
24	LA BOMBILLA	3060	21	2018-06-17	
25	LA ELSA	2341	21	2018-06-17	
26	LA MARINA	2341	21	2018-06-17	
27	LAS CHU	3061	21	2018-06-17	
28	LOGRO	3066	21	2018-06-17	
29	LOS CHARABONES	3060	21	2018-06-17	
30	NUEVA ITALIA	3074	21	2018-06-17	
31	PADRE PEDRO ITURRALDE	3061	21	2018-06-17	
32	PORTALIS	3066	21	2018-06-17	
33	POZO BORRADO	3061	21	2018-06-17	
34	PUEBLO NUEVO	2124	21	2018-06-17	
35	SANTA MARGARITA	3061	21	2018-06-17	
36	TOSTADO	3060	21	2018-06-17	
37	TRES POZOS	3061	21	2018-06-17	
38	VILLA MINETTI	3061	21	2018-06-17	
