1	1.1	INGRESOS TRIBUTARIOS	1		1.1			2	2023-04-01		2022
2	1.1.4	COPARTICIPACIÓN DE IMPUESTOS	2		1.1.4	1.1	1.1.1.1	2	2023-04-01		2022
3	1.1.4.01	COPARTICIPACIÓN PCIAL. DE IMPUESTO LEY 10.559	3		1.1.4.01	2.1	1.1.1.1	3	2023-04-01		2022
4	1.1.4.02	DESCENTRALIZACIÓN TRIBUTARIA	4		1.1.4.02	2.1	1.1.1.1	3	2023-04-01		2022
5	1.1.4.02.01	IMPUESTO INMOBILIARIO RURAL E ISLAS	5		1.1.4.02.01	2.1	1.1.1.1	4	2023-04-01		2022
6	1.1.4.02.02	IMPUESTO A LOS INGRESOS BRUTOS	6		1.1.4.02.02	2.1	1.1.1.1	4	2023-04-01		2022
7	1.1.4.02.03	RECUPERO DE DEUDAS	7		1.1.4.02.03	2.1	1.1.1.1	4	2023-04-01		2022
8	1.1.4.02.04	PATENTE AUTOMOTOR AÑOS 1995 A 2004	8		1.1.4.02.04	2.1	1.1.1.1	4	2023-04-01		2022
9	1.1.4.02.05	IMPUESTO INMOBILIARIO RURAL E ISLAS (AFECTADO)	9		1.1.4.02.05	2.2	1.1.1.1	4	2023-04-01		2022
10	1.1.4.02.06	JUEGOS DE AZAR Y CASINOS	10		1.1.4.02.06	2.1	1.1.1.1	4	2023-04-01		2022
11	1.1.4.02.07	FONDO PARA EL FORTALECIMIENTO DE RECURSOS MUNICIPALES	11		1.1.4.02.07	2.1	1.1.1.1	4	2023-04-01		2022
12	1.1.4.02.08	FONDO MUNICIPAL DE INCLUSIÓN SOCIAL	12		1.1.4.02.08	2.1	1.1.1.1	4	2023-04-01		2022
13	1.1.4.02.09	FONDO PARA EL FORTALECIMIENTO DE SERVICIOS MUNICIPALES	13		1.1.4.02.09	2.1	1.1.1.1	4	2023-04-01		2022
14	1.1.4.02.10	FONDO MANT. CAMINOS Y O. V (AFECTADO)	14		1.1.4.02.10	2.2	1.1.1.1	4	2023-04-01		2022
15	1.1.4.03	COPARTICIPACIÓN FONDO SOLIDARIO PROVINCIAL	15		1.1.4.03	2.2	1.1.1.1	3	2023-04-01		2022
16	1.1.4.04	FONDO EDUCATIVO PROVINCIAL (AFECTADO)	16		1.1.4.04	2.2	1.1.1.1	3	2023-04-01		2022
17	1.1.9	OTROS TRIBUTARIOS	17		1.1.9	1.1	1.1.1.9	2	2023-04-01		2022
18	1.1.9.01	REGIMEN DE COPARTICIPACIÓN EDEN SA	18		1.1.9.01	1.1	1.1.1.9	3	2023-04-01		2022
19	1.1.9.02	FONDO DE FORTALECIMIENTO DE PROGAMAS SOCIALES LEY 13.163	19		1.1.9.02	2.2	1.1.1.9	3	2023-04-01		2022
20	1.1.9.03	TRATAMIENTO DE RESIDUOS LEY 13163	20		1.1.9.03	2.2	1.1.1.9	3	2023-04-01		2022
21	1.1.9.04	FONDO MUNICIPAL FORTALECIMIENTO SEGURIDAD Y OTROS SERVICIOS	21		1.1.9.04	1.1	1.1.1.9	3	2023-04-01		2022
22	1.1.9.05	CONTRIBUCIÓN ABSA LEY 15310	22		1.1.9.05	1.1	1.1.1.9	3	2023-04-01		2022
23	1.2	INGRESOS NO TRIBUTARIOS	23		1.2			2	2023-04-01		2022
24	1.2.1	TASAS	24		1.2.1			2	2023-04-01		2022
25	1.2.1.01	B. L. Y CONSERVACIÓN DE LA VÍA PÚBLICA	25		1.2.1.01	1.1	1.1.3.1	3	2023-04-01		2022
26	1.2.1.01.01	B.L. Y C. DEL EJERCICIO	26		1.2.1.01.01	1.1	1.1.3.1	4	2023-04-01		2022
27	1.2.1.01.02	B.L. Y C. DE EJERC. ANTERIORES	27		1.2.1.01.02	1.1	1.1.3.1	4	2023-04-01		2022
28	1.2.1.01.03	EDEN SA PRODUCIDO ORDENANZA N° 1764/84 (TV)	28		1.2.1.01.03	1.1	1.1.3.1	4	2023-04-01		2022
29	1.2.1.02	SERVICIOS ESPECIALES DE LIMPIEZA E HIGIENE	29		1.2.1.02	1.1	1.1.3.1	3	2023-04-01		2022
30	1.2.1.03	CONSERVACIÓN Y MEJORADO DE LA RED VIAL MUNICIPAL	30		1.2.1.03	1.1	1.1.3.1	3	2023-04-01		2022
31	1.2.1.03.01	CONSERVACIÓN Y MEJORADO DE LA RED VIAL DEL EJERCICIO	31		1.2.1.03.01	1.1	1.1.3.1	4	2023-04-01		2022
32	1.2.1.03.02	CONSERVACIÓN Y MEJORADO DE LA RED VIAL MUNICIPAL DEL EJERCICIO A	32		1.2.1.03.02	1.1	1.1.3.1	4	2023-04-01		2022
33	1.2.1.03.03	TASA DE MANTENIMIENTO VIAL Y SEÑALIZACIÓN MUNICIPAL (AFECTADO)	33		1.2.1.03.03	1.2	1.1.3.1	4	2023-04-01		2022
34	1.2.1.04	HABILITACIÓN DE COMERCIOS E INDUSTRIAS	34		1.2.1.04	1.1	1.1.3.1	3	2023-04-01		2022
35	1.2.1.05	INSPECCIÓN DE SEGURIDAD E HIGIENE	35		1.2.1.05	1.1	1.1.3.1	3	2023-04-01		2022
36	1.2.1.05.01	INSPECCIÓN DE SEGURIDAD E HIGIENE DEL EJERCICIO	36		1.2.1.05.01	1.1	1.1.3.1	4	2023-04-01		2022
37	1.2.1.05.02	INSPECCIÓN DE SEGURIDAD E HIGIENE DE EJERCICIOS ANTERIORES	37		1.2.1.05.02	1.1	1.1.3.1	4	2023-04-01		2022
38	1.2.1.05.03	INSPECCIÓN DE SEGURIDAD E HIGIENE-FABRICACIÓN DE ABONOS Y PLAGUI	38		1.2.1.05.03	1.2	1.1.3.1	4	2023-04-01		2022
39	1.2.1.06	INSPECCIÓN VETERINARIA	39		1.2.1.06	1.1	1.1.3.1	3	2023-04-01		2022
40	1.2.1.07	INSPECCIÓN DE PESAS Y MEDIDAS	40		1.2.1.07	1.1	1.1.3.1	3	2023-04-01		2022
41	1.2.1.08	INSPECCIÓN DE MEDIDORES, MOTORES, GENERADORES, CALDERAS	41		1.2.1.08	1.1	1.1.3.1	3	2023-04-01		2022
42	1.2.1.09	CONTROL DE MARCAS Y SEÑALES	42		1.2.1.09	1.1	1.1.3.1	3	2023-04-01		2022
43	1.2.1.10	CONSUMO DE ELECTRICIDAD Y GAS NATURAL	43		1.2.1.10	1.1	1.1.3.1	3	2023-04-01		2022
44	1.2.1.11	SERVICIOS TÉCNICOS	44		1.2.1.11	1.1	1.1.3.1	3	2023-04-01		2022
45	1.2.1.12	SERVICIOS ADMINISTRATIVOS	45		1.2.1.12	1.1	1.1.3.1	3	2023-04-01		2022
46	1.2.1.13	SERVICIOS POR ADMINISTRACIÓN TRIBUTARIA	46		1.2.1.13	1.1	1.1.3.1	3	2023-04-01		2022
47	1.2.1.14	TASAS POR SERVICIOS VARIOS	47		1.2.1.14	1.1	1.1.3.1	3	2023-04-01		2022
48	1.2.1.14.01	ANÁLISIS BROMATOLÓGICOS	48		1.2.1.14.01	1.1	1.1.3.1	4	2023-04-01		2022
49	1.2.1.14.02	INSPECCIÓN TÉCNICA PARA INSTALACIONES MECÁNICAS Y ELECTROMECÁNIC	49		1.2.1.14.02	1.1	1.1.3.1	4	2023-04-01		2022
50	1.2.1.15	COOPERACIÓN BOMBEROS VOLUNTARIOS (AFECTADO)	50		1.2.1.15	1.2	1.1.3.1	3	2023-04-01		2022
51	1.2.1.16	COOPERACIÓN SEGURIDAD PÚBLICA (AFECTADO)	51		1.2.1.16	1.2	1.1.3.1	3	2023-04-01		2022
52	1.2.1.17	TASA POR PREVENCIÓN CIUDADANA	52		1.2.1.17	1.2	1.1.3.1	3	2023-04-01		2022
53	1.2.1.18	TASAS AMBIENTALES	53		1.2.1.18	1.2	1.1.3.1	3	2023-04-01		2022
54	1.2.1.18.01	INSPECCIONES REITERADAS	54		1.2.1.18.01	1.2	1.1.3.1	4	2023-04-01		2022
55	1.2.1.18.02	ANÁLISIS Y EVALUACIÓN DE ESTUDIOS DE IMPACTO AMBIENTAL	55		1.2.1.18.02	1.2	1.1.3.1	4	2023-04-01		2022
56	1.2.1.18.03	ASISTENCIA TÉCNICA Y CAPACITACIÓN	56		1.2.1.18.03	1.2	1.1.3.1	4	2023-04-01		2022
57	1.2.1.18.04	SERVICIOS DE PROTECCIÓN AMBIENTAL	57		1.2.1.18.04	1.2	1.1.3.1	4	2023-04-01		2022
58	1.2.1.18.05	SERVICIOS DE GESTIÓN DE RESIDUOS DE OBRA AREOS Y AFINES	58		1.2.1.18.05	1.2	1.1.3.1	4	2023-04-01		2022
59	1.2.1.18.06	SERVICIOS DE GESTIÓN DE RESIDUOS A GRANDES GENERADORES	59		1.2.1.18.06	1.2	1.1.3.1	4	2023-04-01		2022
60	1.2.1.18.07	COMERCIALIZACIÓN DE ENVASES NO RETORNABLES Y AFINES	60		1.2.1.18.07	1.2	1.1.3.1	4	2023-04-01		2022
61	1.2.1.19	TASA POR CIRCULACIÓN DE VEHÍCULOS DE TRÁNSITO PESADO	61		1.2.1.19	1.1	1.1.3.1	3	2023-04-01		2022
62	1.2.1.20	TASA EMPLAZAMIENTO ESTRUCTURAS SOPORTES DE ANTENAS	62		1.2.1.20	1.1	1.1.3.1	3	2023-04-01		2022
63	1.2.1.20.01	TASA EMPLAZAMIENTO ESTRUCTURAS SOPORTES DE ANTENA DEL EJERCICIO	63		1.2.1.20.01	1.1	1.1.3.1	4	2023-04-01		2022
64	1.2.1.20.02	TASA EMPLAZAMIENTO ESTRUCTURAS SOPORTES DE ANTENA EJERCICIOS ANT	64		1.2.1.20.02	1.1	1.1.3.1	4	2023-04-01		2022
65	1.2.1.21	TASAS POR SERVICIOS ASISTENCIALES	65		1.2.1.21	1.1	1.1.3.1	3	2023-04-01		2022
66	1.2.1.22	FONDO EDUCATIVO MUNICIPAL (AFECTADO)	66		1.2.1.22	1.2	1.1.3.1	3	2023-04-01		2022
67	1.2.1.23	SERVICIOS SANITARIOS	67		1.2.1.23	1.1	1.1.3.1	3	2023-04-01		2022
68	1.2.1.23.01	CANON POR CONCESIÓN DE SERVICIOS SANITARIOS	68		1.2.1.23.01	1.1	1.1.3.1	4	2023-04-01		2022
69	1.2.1.23.02	CANON POR CONCESIÓN DE SERVICIOS SANITARIOS (AFECTADO)	69		1.2.1.23.02	1.2	1.1.3.1	4	2023-04-01		2022
70	1.2.1.23.03	TASA POR SERVICIOS SANITARIOS DE EJERCICIOS ANTERIORES	70		1.2.1.23.03	1.1	1.1.3.1	4	2023-04-01		2022
71	1.2.1.24	TASA MUNICIPAL PARA PEQUEÑOS CONTRIBUYENTES (MONOTASA SOCIAL)	71		1.2.1.24	1.1	1.1.3.1	3	2023-04-01		2022
72	1.2.1.25	FONDO REDES CLOACALES	72		1.2.1.25	1.1	1.1.3.1	3	2023-04-01		2022
73	1.2.1.26	FONDO AYUDA BOMBEROS VOLUNTARIOS (AFECTADO)	73		1.2.1.26	1.2	1.1.3.1	3	2023-04-01		2022
74	1.2.1.27	APORTE SALUD PÚBLICA (AFECTADO)	74		1.2.1.27	1.2	1.1.3.1	3	2023-04-01		2022
75	1.2.1.28	PATENTE AUTOMOTORES	75		1.2.1.28	1.1	1.1.3.1	3	2023-04-01		2022
76	1.2.1.99	OTRAS TASAS	76		1.2.1.99	1.1	1.1.3.1	3	2023-04-01		2022
77	1.2.2	DERECHOS	77		1.2.2			2	2023-04-01		2022
78	1.2.2.01	ESPECTÁCULOS PÚBLICOS	78		1.2.2.01	1.1	1.1.3.2	3	2023-04-01		2022
79	1.2.2.02	VENTA AMBULANTE	79		1.2.2.02	1.1	1.1.3.2	3	2023-04-01		2022
80	1.2.2.03	PUBLICIDAD Y PROPAGANDA	80		1.2.2.03	1.1	1.1.3.2	3	2023-04-01		2022
81	1.2.2.04	EXPLOTACIÓN DE CANTERAS, EXTRACCIÓN DE ARENA, CASCAJO, SAL Y DEM	81		1.2.2.04	1.1	1.1.3.2	3	2023-04-01		2022
82	1.2.2.05	DERECHO DE OCUPACIÓN VÍA PÚBLICA O USO DE ESPACIOS PÚBLICOS	82		1.2.2.05	1.1	1.1.3.2	3	2023-04-01		2022
83	1.2.2.06	DE AUTOR	83		1.2.2.06	1.1	1.1.3.2	3	2023-04-01		2022
84	1.2.2.07	DE INSCRIPCIÓN	84		1.2.2.07	1.1	1.1.3.2	3	2023-04-01		2022
85	1.2.2.08	CEMENTERIO	85		1.2.2.08	1.1	1.1.3.2	3	2023-04-01		2022
86	1.2.2.08.01	CEMENTERIO	86		1.2.2.08.01	1.1	1.1.3.2	4	2023-04-01		2022
87	1.2.2.08.02	CEMENTERIO CUOTA ÚNICA POR MANTENIMIENTO	87		1.2.2.08.02	1.1	1.1.3.2	4	2023-04-01		2022
88	1.2.2.09	USO DE INSTALACIONES MUNICIPALES	88		1.2.2.09	1.1	1.1.3.2	3	2023-04-01		2022
89	1.2.2.09.01	PRODUCIDO MDO Y PCTOS Y MERC DEL PARTIDO DE CAMPANA	89		1.2.2.09.01	1.1	1.1.3.2	4	2023-04-01		2022
90	1.2.2.09.02	DERECHOS DE OFICINA	90		1.2.2.09.02	1.1	1.1.3.2	4	2023-04-01		2022
91	1.2.2.09.03	DERECHOS DE OFICINA-CERTIFICADOS DE APTITUD AMBIENTAL (AFECTADO)	91		1.2.2.09.03	1.2	1.1.3.2	4	2023-04-01		2022
92	1.2.2.10	PATENTES DE RODADOS	92		1.2.2.10	1.1	1.1.3.2	3	2023-04-01		2022
93	1.2.2.11	DERECHOS DE CONSTRUCCIÓN	93		1.2.2.11	1.1	1.1.3.2	3	2023-04-01		2022
94	1.2.2.12	DERECHO DE USO DE PUERTOS, PLAYAS, RIBERAS, CURSOS NAVEGABLES Y 	94		1.2.2.12	1.1	1.1.3.2	3	2023-04-01		2022
95	1.2.2.99	OTROS DERECHOS	95		1.2.2.99	1.1	1.1.3.2	3	2023-04-01		2022
96	1.2.2.99.01	CANON CONCESIÓN Y EXPLOTACIÓN DE NICHOS	96		1.2.2.99.01	1.1	1.1.3.2	4	2023-04-01		2022
97	1.2.2.99.02	CANON CONCESIÓN ESTACIONAMIENTO MEDIDO (AFECTADO)	97		1.2.2.99.02	1.2	1.1.3.2	4	2023-04-01		2022
98	1.2.3	PRIMAS	98		1.2.3	1.1	1.1.3.9	2	2023-04-01		2022
99	1.2.4	REGALÍAS	99		1.2.4	1.1	1.1.3.3	2	2023-04-01		2022
