1	1	NICHO DOBLE	1	1	20	1	1	20	1	1	0	0
2	2	URNA SIMPLE	2	1	20	1	1	20	1	1	0	0
3	3	SEPULCRO	3	1	10	5	1	10	1	1	0	0
4	4	BOVEDA	4	1	100	50	0	0	0	0	0	0
5	5	SEPULTURA	5	1	10	5	1	10	1	1	0	0
6	6	URNA DOBLE	6	1	20	1	1	20	1	1	0	0
7	7	NICHO SIMPLE	7	1	20	1	1	20	1	1	0	0
8	8	MEDIO LOTE BOVEDA	8	1	100	50	0	0	0	0	0	0
9	10	CREMATORIO	9	1	1	1	1	1	1	1	0	0
10	20	COLUMBARIO	10	1	20	1	1	20	1	1	0	0
11	30	TIERRA	11	1	20	1	1	20	1	1	0	0
12	96	DEPOSITO DE RESTOS	12	0	0	0	0	0	0	0	0	0
13	97	OSARIO	13	0	0	0	0	0	0	0	0	0
14	98	TRASLADO EXTERNO	14	0	0	0	0	0	0	0	0	0
15	99	DEPOSITO	15	0	0	0	0	0	0	0	0	0
