1760719025.720796 server started (17848): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1760719025.720829 on Darwin 23.4.0 Darwin Kernel Version 23.4.0: Wed Feb 21 21:51:37 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8112
1760719025.720835 using libevent 2.1.12-stable select
1760719025.720842 using utf8proc 2.11.0
1760719025.720847 using ncurses 6.5 20240427
1760719025.720910 input_key_build: 0x10e003 (PasteStart) is \033[200~
1760719025.720915 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1760719025.720940 input_key_build: 0x10e195 (F1) is \033OP
1760719025.720945 input_key_build: 0x10e196 (F2) is \033OQ
1760719025.720949 input_key_build: 0x10e197 (F3) is \033OR
1760719025.720953 input_key_build: 0x10e198 (F4) is \033OS
1760719025.720957 input_key_build: 0x10e199 (F5) is \033[15~
1760719025.720961 input_key_build: 0x10e19a (F6) is \033[17~
1760719025.720964 input_key_build: 0x10e19b (F7) is \033[18~
1760719025.720968 input_key_build: 0x10e19c (F8) is \033[19~
1760719025.720972 input_key_build: 0x10e19d (F9) is \033[20~
1760719025.720976 input_key_build: 0x10e19e (F10) is \033[21~
1760719025.720980 input_key_build: 0x10e19f (F11) is \033[23~
1760719025.720983 input_key_build: 0x10e1a0 (F12) is \033[24~
1760719025.720987 input_key_build: 0x10e1a1 (IC) is \033[2~
1760719025.720991 input_key_build: 0x10e1a2 (DC) is \033[3~
1760719025.720994 input_key_build: 0x10e1a3 (Home) is \033[1~
1760719025.720998 input_key_build: 0x10e1a4 (End) is \033[4~
1760719025.721002 input_key_build: 0x10e1a5 (NPage) is \033[6~
1760719025.721006 input_key_build: 0x10e1a6 (PPage) is \033[5~
1760719025.721009 input_key_build: 0x10e1a7 (BTab) is \033[Z
1760719025.721014 input_key_build: 0x10e1a8 (Up) is \033[A
1760719025.721018 input_key_build: 0x10e1a9 (Down) is \033[B
1760719025.721022 input_key_build: 0x10e1aa (Left) is \033[D
1760719025.721025 input_key_build: 0x10e1ab (Right) is \033[C
1760719025.721029 input_key_build: 0x10e1ac (KP/) is /
1760719025.721033 input_key_build: 0x10e1ad (KP*) is *
1760719025.721036 input_key_build: 0x10e1ae (KP-) is -
1760719025.721040 input_key_build: 0x10e1af (KP7) is 7
1760719025.721044 input_key_build: 0x10e1b0 (KP8) is 8
1760719025.721047 input_key_build: 0x10e1b1 (KP9) is 9
1760719025.721051 input_key_build: 0x10e1b2 (KP+) is +
